,City,Climate,Transport,Safety,Activity,Restaurant
0,"Huntsville, AL",0.6183167003636364,0.25892827275,0.2683335467142857,0.14674983377272727,0.17698889233898304
1,"Montgomery, AL",0.6974254842727272,0.25,0.20353354342857147,0.12097204795454547,0.17540935962711865
2,"Anchorage,  AK",0.11717689863636363,0.30609224425000003,0.22879311585714288,0.20735967036363642,0.17990311484745763
3,"Fairbanks, AK",0.07736330827272728,0.25,0.20465613328571428,0.16032505286363638,0.17624886393220338
4,"Juneau, AK",0.1064647119090909,0.25,0.1789776325714286,0.14658372900000002,0.1843245190677966
5,"Phoenix, AZ",0.8782614055454545,0.26489841225,0.42315140914285715,0.17776419540909094,0.18910239750847457
6,"Tucson, AZ",0.8136105899090907,0.28590937225,0.3040016937142857,0.24280700199999997,0.18518421689830508
7,"Little Rock, AR",0.6621318997272728,0.3031353135,0.29292564842857144,0.1331096861818182,0.1805108135762712
8,"Fayetteville, AR",0.5840004956363636,0.298613889,0.23427536899999998,0.13354720513636362,0.1762691573559322
9,"Los Angeles, CA",0.6270010407272727,0.27320052875,0.6812728455714286,0.4163925995454546,0.25951512550847455
10,"San Diego, CA",0.573517505090909,0.245236437,0.4087547048571429,0.3486171121818181,0.1801419789661017
11,"San Francisco, CA",0.4575270849090909,0.4250542197500001,0.48142562671428574,0.35705011522727265,0.1746834550338983
12,"San Jose, CA",0.5300810220000001,0.27092978675,0.33881368242857146,0.14212178477272727,0.17788324320338983
13,"Denver, CO",0.37855193172727275,0.26740768925,0.3531498827142857,0.2229043404090909,0.19122109618644068
14,"Colorado Springs, CO",0.3412473947272728,0.30386729925,0.23175275442857143,0.22130870613636364,0.18112223420338983
15,"Bridgeport, CT",0.440327054,0.0,0.04322649414285714,0.05363043595454546,0.178678589
16,"New Haven, CT",0.4414450268181818,0.208325,0.18494753014285711,0.12051103454545455,0.1764203991355932
17,"Stamford, CT",0.44892833927272735,0.25,0.19906178542857142,0.12304052472727274,0.17590328200000002
18,"Hartford, CT",0.418484978,0.25,0.16411122057142857,0.11538213809090907,0.17361172549152543
19,"Wilmington, DE",0.507671047909091,0.39584166675,0.24427715814285716,0.1526206021818182,0.1785979253559322
20,"Dover, DE",0.5301697510909091,0.0,0.09735840314285715,0.12387137463636365,0.1581913393898305
21,Washington D.C.,0.5343785173636364,0.39396429299999997,0.253660171,0.2837615095454544,0.17718379391525427
22,"Jacksonville, FL",0.7460228297272727,0.2304,0.28903364185714286,0.18050318618181818,0.18294663269491523
23,"Miami, FL",0.850824404090909,0.28661737974999996,0.46052888971428574,0.3720307026363636,0.18052796174576272
24,"Tampa, FL",0.7982033999090908,0.2387082545,0.34209673000000007,0.2198673663636364,0.1718861732033898
25,"Orlando, FL",0.7835539843636362,0.2386007425,0.3429774308571429,0.442952199409091,0.18963248335593222
26,"Atlanta, GA",0.6275344513636365,0.290070784,0.32677588914285716,0.209011601,0.18498300383050847
27,"Columbus, GA",0.6794943086363635,0.31252857525,0.10616645285714287,0.1387786234090909,0.17663831944067795
