,City,Climate,Transport,Safety,Activity,Restaurant
102,"Salt Lake City, UT",0.41213389581818183,0.233325,0.28358766257142853,0.21522256877272722,0.19041613842372881
103,"Provo, UT",0.4106677484545455,0.239575,0.3626928561428571,0.14115463231818182,0.18131371822033898
104,"Burlington, VT",0.33562014863636364,0.27734804725,0.27766315342857145,0.1979825375,0.1832939638135593
105,"Virginia Beach, VA",0.5896798163636364,0.26848873225000003,0.38752599385714287,0.16070967122727273,0.17914987230508475
106,"Richmond, VA",0.5697362995454546,0.252230532,0.5787423580000001,0.32032157149999996,0.18783153220338983
107,"Seattle, WA",0.3933362033636364,0.2560458185,0.5203097015714286,0.25914976895454545,0.18946857459322033
108,"Spokane, WA",0.3939994395454546,0.27978731349999997,0.4653341095714286,0.22046287318181815,0.18210467184745763
109,"Charleston, WV",0.5102730964545454,0.28578653525000003,0.315525263,0.321893527,0.17972967098305084
110,"Morgantown, WV",0.43742077690909087,0.0,0.09262432085714287,0.2012751034090909,0.17342922944067796
111,"Milwaukee, WI",0.36922796772727273,0.25,0.18393504514285716,0.11873620718181815,0.1740369333559322
112,"Madison, WI",0.3795816697272727,0.0,0.01928042071428571,0.17911578722727273,0.18515302559322033
113,"Green Bay, WI",0.3488438774545455,0.25,0.14946780728571427,0.08753472095454545,0.18349395599999999
114,"Cheyenne, WY",0.3363515942727272,0.34250825074999997,0.2672542912857143,0.20078283440909092,0.17912243594915253
115,"Casper, WY",0.3293770832727273,0.34659229199999997,0.3436614355714286,0.17851098931818182,0.1821838429661017
116,"San Juan, PR",0.920463440181818,0.27493902525,0.1920677537142857,0.16658992590909089,0.18378454601694919
117,"Hilo, HI",0.6920451398181817,0.0,0.3095122892857143,0.3012485463181819,0.17803063676271186
118,"Augusta, ME",0.33201500872727274,0.0,0.10881155771428572,0.14974460863636363,0.17656133274576272
119,"Annapolis, MD",0.5306869181818181,0.33512292574999997,0.24530950642857144,0.1166023825909091,0.17572781679661018
120,"Jefferson City, MO",0.5449086043636363,0.3857634,0.2912370754285714,0.10208239272727271,0.1764495875423729
121,"Trenton, NJ",0.4891556951818181,0.25,0.27296589985714287,0.15750131604545456,0.1808803163898305
122,"Albany, NY",0.389777469,0.0,0.108549335,0.19468807900000004,0.1815513571525424
123,"Pittsburgh, PA",0.4379421180909091,0.45,0.08378622428571429,0.15208075313636368,0.17972599530508476
124,"Montpelier, VT",0.28274374063636365,0.21355,0.2591401622857143,0.12252512495454547,0.1763370993898305
125,"Charlottesville, VA",0.536543562,0.0,0.24886346728571426,0.10883658654545458,0.1765900458644068
